Gene_Symbol,WT56_8am_Female_Aged,WT2_8am_Male_Aged,WT55_12pm_Female_Aged,WT5_12pm_Male_Aged,WT54_4pm_Female_Aged,WT6_4pm_Female_Aged,WT53_8pm_Male_Aged,WT51_12am_Male_Aged,WT42_12am_Female_Aged,WT49_4am_Female_Aged,WT43_4am_Female_Aged
Cnksr3,139.0,118.0,138.0,158.0,110.0,140.0,161.0,116.0,134.0,152.0,79.0
Cnmd,7.0,2.0,3.0,3.0,11.0,3.0,6.0,2.0,5.0,11.0,8.0
Cnn1,3.0,21.0,3.0,9.0,14.0,6.0,6.0,4.0,8.0,2.0,8.0
Cnn2,1731.0,606.0,1172.0,1086.0,1212.0,1560.0,632.0,776.0,1344.0,1171.0,818.0
Cnn2-ps,0.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
Cnn3,301.0,342.98,268.99,392.99,377.0,266.98,317.0,244.0,259.97,333.91,164.0
Cnnm1,840.0,847.0,876.0,881.0,970.0,704.0,851.0,793.0,673.0,886.0,448.0
Cnnm2,232.0,178.0,142.0,198.0,207.0,201.0,186.0,181.0,158.0,199.0,84.0
Cnnm3,622.0,599.0,553.0,591.0,617.0,666.81,649.0,574.0,508.0,706.0,334.0
Cnnm4,1675.0,1607.0,1557.0,1564.0,1573.0,2051.0,1397.0,1723.0,1586.0,1883.0,854.0
Cnot1,1576.96,2171.77,1328.76,1798.79,1840.85,1948.06,1419.13,1886.53,1710.51,2078.8,996.57
Cnot10,1387.0,1310.0,1240.0,1251.0,1707.0,1260.0,1338.0,1111.0,1018.0,1307.0,622.0
Cnot11,170.0,177.0,137.0,158.0,190.0,191.0,137.0,89.0,128.0,132.0,113.0
Cnot2,2607.0,1815.0,1997.0,2667.0,2371.0,2661.0,2033.0,2505.0,2395.0,2694.0,1574.98
Cnot3,584.07,596.32,542.16,700.95,661.58,528.17,515.48,433.0,371.76,587.44,283.84
Cnot4,1819.0,1271.0,1477.0,1783.0,1923.0,1701.0,1817.0,1752.0,1484.0,1850.0,1149.0
Cnot6,1159.0,890.0,1003.0,1142.0,1133.0,1133.0,1074.0,965.0,984.0,1190.0,628.0
Cnot6l,1847.0,1487.0,1539.0,1646.0,1520.0,1873.0,1537.0,1645.0,1640.0,1749.0,1071.0
Cnot7,857.0,719.75,772.74,918.0,1029.0,976.71,817.94,734.0,700.99,883.73,484.0
Cnot8,5619.58,4509.79,5330.82,6499.36,4959.72,6514.53,5588.75,6083.89,5712.6,6224.73,3269.74
Cnot9,1748.0,1464.0,1406.0,2059.0,1376.0,1992.0,1390.0,1552.0,1360.0,1566.0,997.0
Cnp,5065.38,3389.54,3830.32,5683.87,4335.45,6082.71,3744.39,3884.21,4483.61,4725.94,2473.02
